,ZIP,LEN,REVENUE,COMPENSATION,EXPENSES,CONTRIBUTIONS,PROGREVENUE
147,11207.0,3.0,21805504.0,14807908.0,25438780.0,3555211.0,17955785.0
148,11208.0,0.0,0.0,0.0,0.0,0.0,0.0
149,11209.0,9.0,2031367.0,283837.0,1187832.0,920434.0,486299.0
150,11210.0,1.0,945861.0,388108.0,964546.0,549847.0,393384.0
151,11211.0,11.0,1695264.0,118385.0,1458292.0,1225181.0,498352.0
152,11212.0,0.0,0.0,0.0,0.0,0.0,0.0
153,11213.0,5.0,8435509.0,4238064.0,12152906.0,5383772.0,2060614.0
154,11214.0,3.0,2151371.0,422604.0,1845138.0,429057.0,4000.0
155,11215.0,26.0,4557540.0,1221192.0,4401923.0,1625939.0,2952516.0
156,11216.0,6.0,1467922.0,471389.0,1340557.0,927705.0,517289.0
157,11217.0,46.0,94183416.0,37440237.0,87040359.0,64526386.0,27016929.0
158,11218.0,13.0,2326918.0,217474.0,2299792.0,863656.0,1337281.0
159,11219.0,3.0,488338.0,52415.0,506678.0,276282.0,211725.0
160,11220.0,5.0,744185.0,323979.0,789758.0,376719.0,305993.0
161,11221.0,0.0,0.0,0.0,0.0,0.0,0.0
162,11222.0,6.0,808912.0,231158.0,730562.0,355241.0,437661.0
163,11223.0,7.0,1051653.0,90209.0,1167135.0,361774.0,647984.0
164,11224.0,4.0,1090421.0,108850.0,1101458.0,257954.0,662751.0
165,11225.0,4.0,267106.0,0.0,209544.0,136971.0,123985.0
166,11226.0,2.0,125856.0,13150.0,138605.0,15600.0,110171.0
167,11228.0,3.0,469555.0,0.0,441278.0,16449.0,452415.0
168,11229.0,6.0,345042.0,39390.0,353555.0,61303.0,282621.0
169,11230.0,2.0,251565.0,0.0,252910.0,43631.0,207855.0
170,11231.0,18.0,1876752.0,312706.0,1635384.0,1269029.0,434655.0
171,11232.0,3.0,1053493.0,238967.0,1098200.0,535722.0,495197.0
172,11233.0,3.0,880774.0,122000.0,877450.0,635171.0,243439.0
173,11234.0,1.0,108877.0,0.0,107520.0,17358.0,91519.0
174,11235.0,4.0,755553.0,85885.0,766380.0,699763.0,38306.0
175,11236.0,1.0,7642.0,0.0,8009.0,7642.0,0.0
176,11237.0,5.0,508107.0,57200.0,410999.0,336597.0,144247.0
177,11238.0,12.0,43470780.0,1102847.0,39710520.0,28023888.0,2783395.0
178,11239.0,0.0,0.0,0.0,0.0,0.0,0.0
179,11241.0,0.0,0.0,0.0,0.0,0.0,0.0
180,11242.0,1.0,12912.0,33000.0,55693.0,0.0,12834.0
181,11243.0,0.0,0.0,0.0,0.0,0.0,0.0
182,11249.0,6.0,2603396.0,1146737.0,3097698.0,997416.0,1500666.0
183,11252.0,0.0,0.0,0.0,0.0,0.0,0.0
184,11256.0,0.0,0.0,0.0,0.0,0.0,0.0
185,11351.0,0.0,0.0,0.0,0.0,0.0,0.0
186,11354.0,18.0,5684087.0,1075244.0,6087351.0,5016659.0,238663.0
187,11355.0,4.0,276154.0,0.0,276269.0,127529.0,142637.0
188,11356.0,1.0,42356.0,0.0,42045.0,0.0,0.0
189,11357.0,5.0,425204.0,76652.0,431202.0,411387.0,13265.0
190,11358.0,6.0,568336.0,25900.0,570616.0,267479.0,306490.0
191,11359.0,0.0,0.0,0.0,0.0,0.0,0.0
192,11360.0,3.0,251895.0,72960.0,166776.0,242984.0,8839.0
193,11361.0,2.0,275367.0,24849.0,296545.0,209809.0,52595.0
194,11362.0,0.0,0.0,0.0,0.0,0.0,0.0
195,11363.0,4.0,318352.0,0.0,310441.0,144760.0,149878.0
196,11364.0,3.0,144859.0,8300.0,109894.0,38554.0,104458.0
197,11365.0,5.0,893450.0,219878.0,806302.0,443781.0,354057.0
198,11366.0,2.0,20121.0,0.0,18191.0,5550.0,11970.0
199,11367.0,2.0,484466.0,174688.0,523191.0,470511.0,13645.0
200,11368.0,5.0,42160485.0,11019264.0,28442500.0,37012872.0,3829564.0
201,11369.0,0.0,0.0,0.0,0.0,0.0,0.0
202,11370.0,1.0,80705.0,0.0,67913.0,80705.0,0.0
203,11371.0,0.0,0.0,0.0,0.0,0.0,0.0
204,11372.0,8.0,452729.0,84818.0,462680.0,252813.0,188676.0
205,11373.0,4.0,263280.0,0.0,205483.0,157220.0,105973.0
206,11374.0,3.0,25510.0,0.0,19683.0,25510.0,0.0
207,11375.0,4.0,210750.0,14576.0,188764.0,44437.0,166305.0
208,11377.0,6.0,122418.0,0.0,165517.0,72534.0,57178.0
209,11378.0,2.0,60197.0,0.0,64607.0,34922.0,4061.0
210,11379.0,1.0,44160.0,0.0,37460.0,11394.0,32766.0
211,11385.0,3.0,360749.0,0.0,126130.0,292140.0,59162.0
212,11411.0,0.0,0.0,0.0,0.0,0.0,0.0
213,11412.0,3.0,232019.0,0.0,201033.0,106994.0,19536.0
214,11413.0,0.0,0.0,0.0,0.0,0.0,0.0
215,11414.0,1.0,31643.0,0.0,34886.0,8000.0,21813.0
216,11415.0,1.0,53802.0,0.0,49628.0,1076.0,52699.0
217,11416.0,1.0,0.0,0.0,0.0,0.0,0.0
218,11417.0,0.0,0.0,0.0,0.0,0.0,0.0
219,11418.0,4.0,526871.0,90844.0,551265.0,313640.0,195692.0
220,11419.0,0.0,0.0,0.0,0.0,0.0,0.0
221,11420.0,4.0,377893.0,0.0,385317.0,374255.0,3626.0
222,11421.0,2.0,969073.0,276775.0,963535.0,935240.0,33811.0
223,11422.0,1.0,401.0,0.0,912.0,0.0,400.0
224,11423.0,0.0,0.0,0.0,0.0,0.0,0.0
225,11426.0,1.0,66992.0,0.0,64831.0,66992.0,0.0
226,11427.0,2.0,100.0,0.0,0.0,0.0,100.0
227,11428.0,3.0,36293.0,0.0,27074.0,0.0,800.0
228,11429.0,0.0,0.0,0.0,0.0,0.0,0.0
229,11430.0,0.0,0.0,0.0,0.0,0.0,0.0
230,11432.0,7.0,2155581.0,696593.0,2031511.0,1115117.0,1002377.0
231,11433.0,0.0,0.0,0.0,0.0,0.0,0.0
232,11434.0,3.0,756309.0,172619.0,771300.0,301520.0,454527.0
233,11435.0,1.0,36923.0,0.0,37010.0,8333.0,28590.0
234,11436.0,0.0,0.0,0.0,0.0,0.0,0.0
235,11691.0,1.0,4724.0,0.0,0.0,4724.0,0.0
236,11692.0,0.0,0.0,0.0,0.0,0.0,0.0
237,11693.0,0.0,0.0,0.0,0.0,0.0,0.0
238,11694.0,4.0,632630.0,407222.0,734097.0,364836.0,267710.0
239,11697.0,0.0,0.0,0.0,0.0,0.0,0.0
240,10008.0,4.0,410166.0,22248.0,408886.0,118102.0,91002.0
241,10101.0,3.0,267432.0,0.0,229633.0,140674.0,119907.0
242,10108.0,7.0,535572.0,85536.0,533294.0,383019.0,132289.0
243,10113.0,7.0,769207.0,186173.0,760738.0,695499.0,76571.0
244,10116.0,1.0,9150.0,0.0,7103.0,0.0,9150.0
245,10125.0,0.0,0.0,0.0,0.0,0.0,0.0
246,10129.0,1.0,439.0,0.0,46580.0,0.0,0.0
247,10150.0,5.0,412085.0,25000.0,464117.0,331842.0,44496.0
248,10156.0,0.0,0.0,0.0,0.0,0.0,0.0
249,10159.0,2.0,88344.0,0.0,86593.0,70884.0,17460.0
250,10163.0,12.0,1797001.0,0.0,1028285.0,186127.0,1482466.0
251,10185.0,6.0,1230709.0,300477.0,958736.0,176047.0,1020117.0
252,10272.0,1.0,115323.0,0.0,111370.0,115323.0,0.0
253,10276.0,8.0,604143.0,21600.0,608627.0,265849.0,292132.0
254,11202.0,5.0,500224.0,128962.0,435444.0,278685.0,211620.0
255,11242.0,1.0,12912.0,33000.0,55693.0,0.0,12834.0
256,11243.0,0.0,0.0,0.0,0.0,0.0,0.0
